1,,,A 527,1,7,Macht hoch die Tür,Advent,in allen 4 GB enthalten
3,,,3,3,,Wie soll ich Dich empfangen,Advent,nicht im ukr.GB enthalten
23,,555,23,18,39,O Du fröhliche,Weihnachten,
26,,560,26,21,42,Stille Nacht,Weihnachten,
30,,,30,23,,Bis hierher hat mich Gott gebracht,Jahreswende,
33,,,33,24,,Das Jahr geht still zu Ende,Jahreswende,
40,,,40,26,,"Sieh, dein König kommt zu Dir",Palmsonntag,
43,,,43,29,82,O Haupt voll Blut und Wunden,Karfreitag,
49,,,A 336,33,74,Es ist ein Born,Karfreitag,
66,,519,66,44,95,"Freut Euch, Ihr Christen",Ostern,
68,,,A 365,45,35,"Kommt, stimmet alle jubelnd ein",Ostern,
69,,,69,46,,"Ich weiss, dass mein Erlöser lebt",Ostern,
70,,,70,47,,Auf Christi Himmelfahrt allein,Himmelfahrt,
76,,,76,50,448,Wo Gottes Geist regieret,Pfingsten,
81,,,81,52,126,Geist der Wahrheit lehre mich,Pfingsten,
82,,,82,53,122,"Geist der Wahrheit, Geist des Lebens",Pfingsten,
93,,,93,59,,"O Herr, nimm unsre Schuld",Busstag,
95,,,95,96,232,"Liebster Jesu, wir sind hier",Einladung/Heilsverlangen/Heiligung,
96,,,96,97,,Gott mein Licht erleuchte mich,Einladung/Heilsverlangen/Heiligung,
97,,,97,98,,Beschwertes Herz leg ab die Sorgen,Einladung/Heilsverlangen/Heiligung,
99,,,99,61,,"Licht vom Licht, erleuchte mich",Einladung/Heilsverlangen/Heiligung,
103,,9,103,65,202,Gott ist gegenwärtig,Einladung/Heilsverlangen/Heiligung,
106,,,106,68,255,"Betgemeinde, heil’ge dich",Einladung/Heilsverlangen/Heiligung,
107,a,244,107,69,143,Hier ist mein Herz,Einladung/Heilsverlangen/Heiligung,
109,,,A 498,71,183,"Fels des Heils, Herr Jesu Christ",Einladung/Heilsverlangen/Heiligung,
111,,,111,73,276,O komm mit mir,Einladung/Heilsverlangen/Heiligung,
112,,274,112,74,,"Kommt her, Ihr seid geladen",Einladung/Heilsverlangen/Heiligung,
